DSOG,20200622,365.62,368.62,359.72,367.61,199879700
DSOI,20200622,122.9,123.56,120.77,123.27,75897600
DSOL,20200622,352.09,355.66,348.05,355.63,53517400
DSOQ,20200622,203.64,205.58,200.67,205.13,114181400
DSOS,20200622,400.22,402.74,391.22,399.88,146362300
DSPB,20200622,412.51,419.44,409.15,418.26,8606800
DSPC,20200622,290.99,295.96,288.4,295.57,5351500
DSPG,20200622,637.23,646.77,634.25,646.28,69370600
DSPL,20200622,465.33,471.42,458.76,470.36,38283700
DSPM,20200622,131.1,134.73,130.44,131.3,14747100
DSPN,20200622,862.17,862.23,852.64,860.96,156726900
DSPP,20200622,83.97,83.97,81.86,82.04,1652500
DSPR,20200622,589.54,590.15,583.74,589.34,71028200
DSRA,20200622,823.29,833.28,814.98,825.96,70245100
DSRB,20200622,2710.98,2740.58,2698.12,2740.39,46661200
DSRD,20200622,748.42,749.48,736.49,745.88,7366300
DSRE,20200622,313.43,314.79,309.19,314.11,323728700
DSRH,20200622,450.25,454.38,444.62,453.63,2799100
DSRI,20200622,129.17,129.74,127.39,129.41,320929600
DSRL,20200622,63.07,64.31,62.05,64.19,34849800
DSRN,20200622,201.33,203.91,198.41,202.18,16605600
DSRP,20200622,443.36,451.83,438.15,450.43,2836100
DSRQ,20200622,68.49,68.63,65.67,67.28,147790300
DSRR,20200622,2275.24,2291.46,2249.38,2289.67,8337700
DSRS,20200622,2043.45,2089.13,2041.63,2088.77,34437400
DSRT,20200622,1635.1,1654.45,1632.68,1654.35,210654500
DSRU,20200622,1745.76,1766.81,1735.04,1763.77,27533800
DSSB,20200622,1149.13,1159.19,1143.55,1154.22,38428700
DSSC,20200622,4635.38,4700.93,4599.26,4691.07,157539700
DSSD,20200622,691.44,696.03,687.12,691.61,28631700
DSSF,20200622,375.81,382.39,373.84,380.55,50124000
DSSP,20200622,374.74,376.18,371.14,375.19,10713900
DSSR,20200622,232.15,232.82,229.11,231.24,75474700
DSST,20200622,181.43,182.79,179.56,181.8,37818100
DSSV,20200622,3417.16,3475.91,3414.35,3475.05,325288100
DSSW,20200622,3704.65,3788.53,3699.83,3787.28,205483500
DSTB,20200622,562.45,564.09,557.53,558.82,10862300
DSTC,20200622,2727.65,2772.66,2724.48,2771.67,616976000
DSTK,20200622,950.3,950.3,936.04,937.71,5646400
DSTL,20200622,168.27,169.25,167.71,167.79,47759900
DSTP,20200622,758.84,765.77,755.71,765.02,0
DSTQ,20200622,2328.68,2367.12,2323.99,2363.92,291687900
DSTR,20200622,30.34,30.59,29.46,30.31,5229100
DSTS,20200622,189.74,192.08,186.44,191.56,3215600
DSTT,20200622,560.9,567.22,551.9,566.42,39418000
DSTY,20200622,1133.63,1140.71,1124.45,1130.58,40915100
DSUO,20200622,278.8,282.97,277.29,281.26,28829500
DSUT,20200622,281.69,286.77,279.78,285.22,99987700
DSVE,20200622,270.46,275.64,268.4,274.22,71158100
DSVN,20200622,419.44,419.98,414.25,417.53,1783400
DSWC,20200622,386.91,389.84,385.08,385.33,18223800
DSWU,20200622,2709.02,2737.99,2695.36,2718.51,2712500
DTCI,20200622,1575.8,1583.24,1554.67,1579.54,0
DTEI,20200622,1934.32,1935.98,1900.16,1930.94,0
DTFD,20200622,0.01,15,0.01,10,0
DTFI,20200622,85,90,80,90,0
DTFX,20200622,122.04,122.82,121.95,122.77,0
DTOF,20200622,50,60,50,60,0
DTOH,20200622,25,30,25,30,0
DTTH,20200622,15,30,10,30,0
DTTW,20200622,10,30,5,15,0
DTWC,20200622,19130.57,19257.98,18968.92,19232.01,0
DTWI,20200622,59201.17,59630.91,58741.26,59552.42,0
DTWT,20200622,14758.28,14759.63,14507.58,14732.63,0
DTWU,20200622,3450.81,3515.49,3434.63,3494.74,0
DUBS,20200622,64.8,64.91,64.49,64.83,0
